00001 A00     0 Cholera                                                      Cholera
37854 S31642  0 Pnctr w fb of abd wall, epigst rgn w penet perit cav         Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity
37855 S31642A 1 Pnctr w fb of abd wall, epigst rgn w penet perit cav, init   Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37856 S31642D 1 Pnctr w fb of abd wall, epigst rgn w penet perit cav, subs   Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37857 S31642S 1 Pnctr w fb of abd wall, epigst rgn w penet perit cav, sqla   Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37858 S31643  0 Pnctr w fb of abd wall, right lower q w penet perit cav      Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37859 S31643A 1 Pnctr w fb of abd wall, right low q w penet perit cav, init  Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37860 S31643D 1 Pnctr w fb of abd wall, right low q w penet perit cav, subs  Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37861 S31643S 1 Pnctr w fb of abd wall, right low q w penet perit cav, sqla  Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37862 S31644  0 Pnctr w fb of abd wall, left lower q w penet perit cav       Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37863 S31644A 1 Pnctr w fb of abd wall, left lower q w penet perit cav, init Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37864 S31644D 1 Pnctr w fb of abd wall, left lower q w penet perit cav, subs Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37865 S31644S 1 Pnctr w fb of abd wall, left lower q w penet perit cav, sqla Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37866 S31645  0 Pnctr w fb of abd wall, periumb rgn w penet perit cav        Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity
37867 S31645A 1 Pnctr w fb of abd wall, periumb rgn w penet perit cav, init  Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37868 S31645D 1 Pnctr w fb of abd wall, periumb rgn w penet perit cav, subs  Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37869 S31645S 1 Pnctr w fb of abd wall, periumb rgn w penet perit cav, sqla  Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37870 S31649  0 Pnctr w fb of abd wall, unsp quadrant w penet perit cav      Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37871 S31649A 1 Pnctr w fb of abd wall, unsp q w penet perit cav, init       Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37872 S31649D 1 Pnctr w fb of abd wall, unsp q w penet perit cav, subs       Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37873 S31649S 1 Pnctr w fb of abd wall, unsp q w penet perit cav, sequela    Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37874 S3165   0 Open bite of abdominal wall w penetration into perit cav     Open bite of abdominal wall with penetration into peritoneal cavity
37875 S31650  0 Open bite of abd wall, right upper q w penet perit cav       Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity
37876 S31650A 1 Open bite of abd wall, right upper q w penet perit cav, init Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
37877 S31650D 1 Open bite of abd wall, right upper q w penet perit cav, subs Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
37878 S31650S 1 Open bite of abd wall, right upper q w penet perit cav, sqla Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
37879 S31651  0 Open bite of abdominal wall, l upr q w penet perit cav       Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity
37880 S31651A 1 Open bite of abdominal wall, l upr q w penet perit cav, init Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
37881 S31651D 1 Open bite of abdominal wall, l upr q w penet perit cav, subs Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
37882 S31651S 1 Open bite of abd wall, l upr q w penet perit cav, sequela    Open bite of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
37883 S31652  0 Open bite of abdominal wall, epigst rgn w penet perit cav    Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity
37884 S31652A 1 Open bite of abd wall, epigst rgn w penet perit cav, init    Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
37885 S31652D 1 Open bite of abd wall, epigst rgn w penet perit cav, subs    Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
37886 S31652S 1 Open bite of abd wall, epigst rgn w penet perit cav, sequela Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
37887 S31653  0 Open bite of abd wall, right lower q w penet perit cav       Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity
37888 S31653A 1 Open bite of abd wall, right lower q w penet perit cav, init Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
37889 S31653D 1 Open bite of abd wall, right lower q w penet perit cav, subs Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
37890 S31653S 1 Open bite of abd wall, right lower q w penet perit cav, sqla Open bite of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
37891 S31654  0 Open bite of abd wall, left lower quadrant w penet perit cav Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity
37892 S31654A 1 Open bite of abd wall, left lower q w penet perit cav, init  Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
37893 S31654D 1 Open bite of abd wall, left lower q w penet perit cav, subs  Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
37894 S31654S 1 Open bite of abd wall, left lower q w penet perit cav, sqla  Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
37895 S31655  0 Open bite of abdominal wall, periumb rgn w penet perit cav   Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity
37896 S31655A 1 Open bite of abd wall, periumb rgn w penet perit cav, init   Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
37897 S31655D 1 Open bite of abd wall, periumb rgn w penet perit cav, subs   Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
37898 S31655S 1 Open bite of abd wall, periumb rgn w penet perit cav, sqla   Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
37899 S31659  0 Open bite of abdominal wall, unsp quadrant w penet perit cav Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity
37900 S31659A 1 Open bite of abd wall, unsp quadrant w penet perit cav, init Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
37901 S31659D 1 Open bite of abd wall, unsp quadrant w penet perit cav, subs Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
37902 S31659S 1 Open bite of abd wall, unsp q w penet perit cav, sequela     Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
37903 S318    0 Open wound of other parts of abdomen, lower back and pelvis  Open wound of other parts of abdomen, lower back and pelvis
37904 S3180   0 Open wound of unspecified buttock                            Open wound of unspecified buttock
37905 S31801  0 Laceration without foreign body of unspecified buttock       Laceration without foreign body of unspecified buttock
